words,document_3,document_2,document_1,document_5,document_4,document_6,document_7,document_11,document_10,document_12,document_13,document_17,document_16,document_14,document_15,document_18,document_19,document_20,document_9,document_8
incompetent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
youngest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Large,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Medieval,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Workplace,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
donated,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0
transcripts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chiesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Stiftl,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
preventing,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
restriction,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
injury,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0
machineries,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beauty,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
19-Nov-55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
provoking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Decision,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EnglandRoy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lakewood,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bremen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Browder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
weaken,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
looking,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
published,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,4,13,2,0,5
Brewers,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Website,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Legacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
posited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phillip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
error-checking,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
career,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0
unconstitutional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leukemia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Like,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Kathleen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
educated,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
rotatable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
clustering,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warmer,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
split,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
recognize,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Albert,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Farmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Port,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
