word_query,generality_discount,word importance in document_8,word relevance indocument_8,word importance in document_6,word relevance indocument_6,word importance in document_19,word relevance indocument_19,word importance in document_20,word relevance indocument_20,word importance in document_3,word relevance indocument_3,word importance in document_12,word relevance indocument_12,word importance in document_1,word relevance indocument_1,word importance in document_4,word relevance indocument_4,word importance in document_9,word relevance indocument_9,word importance in document_14,word relevance indocument_14,word importance in document_15,word relevance indocument_15,word importance in document_2,word relevance indocument_2,word importance in document_11,word relevance indocument_11,word importance in document_5,word relevance indocument_5,word importance in document_7,word relevance indocument_7,word importance in document_16,word relevance indocument_16,word importance in document_18,word relevance indocument_18,word importance in document_13,word relevance indocument_13,word importance in document_17,word relevance indocument_17,word importance in document_10,word relevance indocument_10
This,0.10007923043569086,0.0009615384615384616,9.623002926508737e-05,0.0022878535773710484,0.00022896662537283684,0.0007770510911092404,7.776667520742669e-05,0.0005238344683080147,5.24249504639554e-05,0.0,0.0,0.0009074410163339383,9.081599858048172e-05,0.001687289088863892,0.00016886259353603633,0.0026344676180021956,0.00026365549181740734,0.0,0.0,0.0,0.0,0.0021547502448579824,0.00021564574628650334,0.003045685279187817,0.00030480983889042903,0.0009337068160597573,9.344465960381967e-05,0.002199091042369154,0.00022008333917832617,0.0006700167504187605,6.705476076093191e-05,0.0006024096385542169,6.028869303354872e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is,0.07227944420355452,0.0028846153846153848,0.00020849839674102265,0.011751247920133111,0.0008493736683653974,0.0033672213948067087,0.00024338089092694652,0.0034704033525405974,0.00025083882548378666,0.0,0.0,0.0027223230490018148,0.0001967679969243771,0.017435320584926885,0.0012602152813893084,0.018221734357848518,0.0013170568318101043,0.0030211480362537764,0.00021836690091708313,0.0,0.0,0.014887365328109697,0.001076050491571037,0.01793570219966159,0.00129638258639201,0.01727357609710551,0.0012485244797065908,0.011728485559302155,0.000847728417575775,0.003015075376884422,0.0002179279724730287,0.0012048192771084338,8.708366771512594e-05,0.011799410029498525,0.0008528547988620002,0.006787330316742082,0.0004905844629200533,0.003276003276003276,0.00023678769599854062,0.0035971223021582736,0.0002599980007322105
me,0.6505149978319906,0.0,0.0,0.0,0.0,0.0002590170303697468,0.0001684944629494245,0.00026191723415400735,0.00017038108900785506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
