	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
67	cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
68	ethos	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	Richardson	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	breeds	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	facts	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	cooled	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
73	Institution	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
74	proper	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
75	long	0	8	2	6	0	0	0	1	0	0	1	2	2	3	1	0	0	0	0	0
76	resumed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	bellows	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	restaurateurs	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
79	Meteorology	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	evolved	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
81	Primer	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
82	commandment	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	With	0	0	2	4	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
84	Later	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
85	march	0	0	0	27	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
86	readership	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	flows	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0
88	Defending	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	featured	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
90	Ideology	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	sgrida	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
92	evangelist	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	higher-pitched	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	egalitarianism	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	Lutgen	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
