	words	document_8	document_6	document_19	document_20	document_3	document_12	document_1	document_4	document_9	document_14	document_15	document_2	document_11	document_5	document_7	document_16	document_18	document_13	document_17	document_10
2489	Modest	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2490	supporting	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2491	existing	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2492	Beno	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2493	moves	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
2494	la	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2495	forage	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2496	Embryonic	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2497	amiss	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2498	regard	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2499	preceded	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2500	warned	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2501	retracts	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2502	bags	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2503	Stiles	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2504	paternalistic-ally	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2505	Obatzda	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2506	progress	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
2507	-foot-tall	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2508	aspirin	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2509	settlers	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510	People	2	0	0	11	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0
2511	alphabet	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2512	examples	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2513	Ethologist	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2514	cuisine	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2515	deeper	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2516	Dall	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2517	tastes	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2518	renouncing	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2519	naturalist	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2520	broadcasts	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2521	hydroxyl	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2522	animosity	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2523	locus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2524	hybrids	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2525	storm	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2526	Man	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2527	Chiesa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2528	Places	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2529	lesbian	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2530	Howland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2531	languages	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2532	Concerned	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2533	trick	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2534	Seeing	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2535	transitional	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2536	transportation	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2537	Championship	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2538	same	1	5	8	5	0	0	0	1	1	0	5	0	1	4	0	0	0	0	0	0
2539	believes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2540	sells	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2541	classes	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
2542	weakness	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2543	stranger	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2544	sq	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2545	sample	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2546	reduction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2547	reference	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
2548	transfer	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
2549	There	2	2	1	8	0	0	1	1	0	0	8	4	2	5	2	0	0	1	0	0
2550	corporate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2551	infested	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2552	dogs	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2553	weakening	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2554	cloud	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2555	Egypt	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2556	forward	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
2557	borrowed	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2558	rock	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2559	Inje	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2560	pacifists	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2561	reintroduction	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2562	heritable	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2563	topple	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2564	oils	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2565	earth	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2566	imbued	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2567	resinous	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2568	transported	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2569	competes	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2570	pool	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2571	COINTELPRO	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2572	renders	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2573	pursue	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2574	lands	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2575	Ochsenbraterei	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
2576	aberration	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2577	WNBA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
2578	badly	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2579	unwanted	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2580	diabetic	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2581	notables	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2582	male	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2583	detoxification	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2584	polar	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
2585	minister	2	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2586	resulted	1	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
2587	Europeans	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2588	seem	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2589	Santi	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
2590	Feral	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2591	dictated	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2592	ADP	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2593	CHT-	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2594	defamation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2595	investigative	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2596	shorter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2597	Spanish-speaking	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2598	collection	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2599	Mahalia	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2600	clinical	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
2601	stable	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2602	blood	0	1	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0
2603	buds	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2604	bowling	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2605	reprint	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2606	age	0	5	9	4	0	0	0	0	1	0	15	0	0	0	0	0	0	0	1	0
2607	facto	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2608	assessed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2609	loss	0	4	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0
2610	subsequent	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
2611	ranked	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2612	advises	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2613	Facts	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
2614	Cover	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2615	authorities	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
2616	associate	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2617	macrosomia	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
2618	permanently	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2619	mismatched	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
2620	bid	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2621	touching	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2622	Throughout	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2623	debates	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2624	relocation	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2625	Trumpet	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2626	Arts	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2627	overwhelmingly	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2628	wretched	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2629	Yeshitela	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2630	acceptance	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2631	moderation	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2632	bribery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2633	threats	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2634	friendly	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2635	promoted	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2636	grass	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2637	Greatest	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2638	Jackson	0	0	0	10	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0
2639	polymerization	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2640	mucosa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2641	socializing	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2642	offerings	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2643	decadal	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2644	Malcolm	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2645	espite	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646	John	0	0	12	8	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0
2647	Oswald	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2648	Rhine	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2649	naked	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2650	chat	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2651	portions	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2652	Fetus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2653	Spatenbr	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2654	Prosit	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2655	exceptions	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2656	helicases	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
2657	steered	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2658	biological	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
2659	Withholding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2660	unique	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0
2661	Kind	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2662	poleward	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
2663	Cincinnati	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2664	gates	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2665	Datura	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2666	judgment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2667	cell	0	0	0	1	0	0	0	17	0	0	1	53	0	0	0	0	0	0	0	0
2668	Legal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2669	Reduced	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2670	favor	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2671	purpose	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2672	mammary	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2673	contemporary	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2674	Bierm	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2675	quantum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2676	black	0	3	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2677	disallow	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2678	tom	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2679	relaxation	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2680	school	0	0	6	12	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
2681	elder	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2682	demonstrations	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2683	morphological	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2684	intake	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
2685	Technical	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2686	radiation	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2687	resources	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2688	bow	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2689	subordinate	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2690	future	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
2691	purchasing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2692	Special	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
2693	tigers	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2694	exceeds	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2695	Cornwall	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2696	cook	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2697	monitoring	0	0	0	2	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0
2698	Icelandic	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2699	consultation	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
2700	amounts	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
2701	Jordan	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2702	onset	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2703	Sect	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2704	Gazette	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2705	citizens	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2706	comes	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
2707	prevail	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2708	comment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2709	ISBN	0	0	0	11	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0
2710	constantly	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
2711	Crescent	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2712	full-time	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2713	shot	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2714	station	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
2715	aggressiveness	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2716	collecting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
2717	socialistic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2718	tinged	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2719	tabled	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
2720	firearm	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2721	illuminated	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2722	Deutsche	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2723	continuation	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2724	equally	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2725	pussycat	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2726	site-binding	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2727	screw	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2728	affects	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2729	Brussels-Capital	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2730	Madison	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
2731	burdened	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2732	survived	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2733	oratory	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2734	agent	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2735	ranging	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2736	possibility	3	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2737	fondness	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2738	rewarded	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2739	note	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0
2740	did	6	0	16	23	0	1	1	0	0	0	1	0	0	3	2	0	0	0	3	0
2741	contributor	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2742	precocious	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2743	mocrate	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2744	souls	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2745	cemented	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2746	newborn	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2747	whether	0	0	0	1	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0
2748	characterized	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2749	subscription	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2750	Hall	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2751	brewed	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
2752	month	1	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2753	payroll	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2754	watch	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2755	stemmed	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2756	Force	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2757	wines	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
2758	salvation	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2759	scrap	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2760	bias	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2761	Studies	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2762	neighbors	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2763	Weights	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2764	fine	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
2765	Estimated	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2766	pair	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2767	likewise	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2768	introduced	0	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
2769	proposition	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2770	knots	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2771	spectra	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2772	collections	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2773	Trust	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
2774	digest	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2775	hometown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2776	evaluate	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2777	discourses	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2778	deist	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2779	Housing	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2780	Metropolitan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2781	forces	2	0	0	3	0	0	2	0	0	0	0	3	0	1	2	0	0	0	0	1
2782	wreck	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2783	Again	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
